customer_id,gender,age,senior_citizen,married,tenure_in_months,contract,payment_method,monthly_charge,total_charges,satisfaction_score,churn_label
8779-QRDMV,Male,78,Yes,No,1,Month-to-Month,Bank Withdrawal,39.65,39.65,3,Yes
7495-OOKFY,Female,74,Yes,Yes,8,Month-to-Month,Credit Card,80.65,633.3,3,Yes
1658-BYGOY,Male,71,Yes,No,18,Month-to-Month,Bank Withdrawal,95.45,1752.55,2,Yes
4598-XLKNJ,Female,78,Yes,Yes,25,Month-to-Month,Bank Withdrawal,98.5,2514.5,2,Yes
4846-WHAFZ,Female,80,Yes,Yes,37,Month-to-Month,Bank Withdrawal,76.5,2868.15,2,Yes
4412-YLTKF,Female,72,Yes,No,27,Month-to-Month,Bank Withdrawal,78.05,2135.5,1,Yes
0390-DCFDQ,Female,76,Yes,Yes,1,Month-to-Month,Mailed Check,70.45,70.45,2,Yes
3445-HXXGF,Male,66,Yes,Yes,58,Month-to-Month,Bank Withdrawal,45.3,2651.2,1,Yes
2656-FMOKZ,Female,70,Yes,No,15,Month-to-Month,Mailed Check,74.45,1145.7,2,Yes
2070-FNEXE,Female,77,Yes,No,7,Month-to-Month,Bank Withdrawal,76.45,503.6,2,Yes
0094-OIFMO,Female,78,Yes,No,11,Month-to-Month,Bank Withdrawal,95.0,1120.3,1,Yes
9947-OTFQU,Male,65,Yes,No,15,Month-to-Month,Bank Withdrawal,74.4,1074.3,1,Yes
9514-JDSKI,Male,77,Yes,Yes,1,Month-to-Month,Bank Withdrawal,40.2,40.2,2,Yes
7273-TEFQD,Male,67,Yes,No,3,Month-to-Month,Bank Withdrawal,41.15,132.2,2,Yes
3606-TWKGI,Male,68,Yes,No,13,Month-to-Month,Bank Withdrawal,106.9,1364.3,1,Yes
4385-GZQXV,Female,68,Yes,No,16,Month-to-Month,Bank Withdrawal,94.45,1511.2,1,Yes
3488-PGMQJ,Male,66,Yes,No,8,Month-to-Month,Bank Withdrawal,74.5,606.55,2,Yes
7534-BFESC,Male,69,Yes,No,24,Month-to-Month,Bank Withdrawal,76.1,1712.7,2,Yes
8098-LLAZX,Female,74,Yes,No,4,Month-to-Month,Bank Withdrawal,95.45,396.1,3,Yes
0265-EDXBD,Male,76,Yes,Yes,32,Month-to-Month,Bank Withdrawal,74.9,2303.35,2,Yes
2840-XANRC,Male,77,Yes,Yes,24,Month-to-Month,Bank Withdrawal,93.15,2231.05,2,Yes
5020-ZSTTY,Female,70,Yes,No,54,One Year,Bank Withdrawal,82.45,4350.1,1,Yes
5804-LEPIM,Female,74,Yes,No,2,Month-to-Month,Bank Withdrawal,70.35,139.05,3,Yes
